2019 Progressive Rock Albums,,Releases:,364,"Sort by Artist, Vocal Style, or Genre:
Data -> Filter views... -> ...
Or create your own Filter View:
Data -> Filter views... -> Create a new filter view","Collaborators: 
/u/FranticDav
/u/Faceless_Aeons
/u/tapestrymusicpodcast
/u/ickybus",,Images & Words: The Prog Discord,,,,,
,,LPs:,346,,,,,,,,,
Feedback and Request Form,Creator: /u/iAmTheEpicOne,EPs:,18,,,,,,,,,
,,Debuts:,101,,,,,,,,,
Artist,Album,Release Date,Length,Genre / Subgenres,Vocal Style,Country / State,Bandcamp,Spotify,Google Play,YouTube,Amazon,Apple Music
EchoTest,Daughter of Ocean,January 1,LP,"Prog-rock, Ambient, Electronic, Experimental",Clean,"Philadelphia, PA",BC,S,GP,YT,Az,🍎
Esthema,IV (aka IIII),January 1,LP,"Prog-rock, Fusion",Instrumental,"Boston, MA",,S,GP,YT,Az,🍎
Fervent Send,Super Stereo,January 1,LP,"Prog-rock, Experimental, Jazz",Instrumental,"Lenoir, NC",BC,,,,,
In Continuum,"Acceleration Theory, Part I: AlienA ",January 1,LP,"Prog-rock, Symphonic",Clean,"Miami, FL",BC,,,,Az,🍎
Joey Frevola,Gone,January 1,LP,"Prog-rock, Experimental",Instru./Clean,"Nashville, TN",BC,S,GP,YT,Az,🍎
Kenyon Bunton,This Guy's Disguised this Sky,January 1,LP,"Prog-rock, Experimental, Space, Psychedelic, Singer-songwriter",Clean,"London, England",BC,,GP,YT,Az,🍎
Soniq Theater,Brandenburg,January 1,LP,"Prog-rock, Electronica, Ambient, Fusion, Classical",Instrumental,"Stuttgart, Germany",BC,,,,,
Yvette Young,Piano,January 1,EP,"Prog-rock, Math rock, Pop, Acoustic",Instrumental,"San Jose, CA",BC,S,GP,YT,Az,🍎
UMÆ ,Lost in the View,January 3,LP,"Prog-rock, Heavy rock",Clean,International,,S,GP,YT,Az,🍎
Antarticus,Antarticus,January 4,LP,"Prog-rock, Stoner rock, Doom",Clean,"Whitehorse, YT",BC,S,GP,,Az,🍎
Cody Carpenter,Force Of Nature,January 4,LP,"Prog-rock, Fusion",Instrumental,"Los Angeles, CA",,S,GP,YT,Az,🍎
Metaphor,The Pearl,January 4,LP,"Prog-rock, Symphonic",Clean,"San Jose, CA",BC,S,GP,YT,Az,🍎
Guy Hatton,I Am Concentric,January 7,LP,"Prog-rock, Fusion, Jazz",Instrumental,"Rochester, England",BC,S,GP,YT,Az,🍎
Numidia,Numidia,January 7,LP,"Prog-rock, Psychedelic rock, Folk",Clean,"Sydney, Australia",BC,S,GP,YT,Az,🍎
Althea,The Art of Trees,January 8,LP,"Prog-rock, Heavy rock",Clean,"Milan, Italy",BC,S,GP,YT,Az,🍎
Brave,the calm | the storm,January 8,LP,"Prog-rock, Symphonic",Clean,"Washington, DC",BC,S,GP,YT,Az,🍎
Cameron Jirowetz,Hiatus From Myself,January 9,LP,"Prog-rock, Pop, Experimental",Clean,"Middletown, CT",BC,S,,,,
Petrichor,II,January 9,LP,"Prog-rock, Psychedelic, Doom, Occult rock, Hard rock",Clean,"Richmond, VA",BC,S,GP,YT,Az,🍎
Slang,Garden City,January 9,LP,"Prog-rock, Hard rock",Instru./Clean,"Manitoba, Canada",,S,GP,YT,Az,🍎
Sonic Horizon,World of Change,January 9,LP,"Prog-rock, Hard-rock, Alt-rock",Clean,"Idaho Falls, ID",,S,GP,YT,Az,🍎
Alan Azar,Wonders - Mysteries & The Archaeologist,January 10,LP,"Prog-rock, Virtuoso",Instrumental,Lebanon,,S,GP,YT,Az,🍎
Solteronas en Escabeche,Lenguaje y Comunicación,January 10,LP,"Prog-rock, Punk, Indie",Clean,Chile,,S,GP,YT,Az,🍎
Dalton,Eden,January 11,LP,"Prog-rock, RPI",Clean,"Camparada, Italy",BC,S,GP,YT,Az,🍎
Damian Wilson & Adam Wakeman,Stripped,January 11,LP,"Prog-rock, Acoustic",Clean,England,BC,S,GP,YT,Az,🍎
"Phil Keaggy, Tony Levin, Jerry Marotta",The Bucket List,January 11,LP,"Prog-rock, Fusion",Instrumental,"Cleveland, OH",BC,S,GP,YT,Az,🍎
Snakes Don't Belong in Alaska,Snakes Don't Belong in Alaska,January 11,LP,"Prog-rock, Psychedelic, Space Rock, Krautrock",Instru./Clean,UK,BC,,,,,
Tortoise Forest,Tortoise Forest,January 12,LP,"Prog-rock, Jam, Electronic",Instrumental,"Buffalo, NY",BC,S,GP,YT,Az,🍎
La Stazione delle Frequenze,Physis,January 13,LP,"Prog-rock, RPI",Clean,"Beneveneto, Italy",,S,GP,YT,Az,🍎
Opus Avantra,Rosa Rosae,January 14,LP,"Prog-rock, Symphonic, Avant-garde ",Clean,"Villorba, Italy",,S,GP,YT,Az,🍎
Tracteur,Tracteur,January 14,LP,"Prog-rock, RIO, Avant-prog",Instrumental,"Toulouse, France",BC,,,,,
We Are Impala,Visions,January 14,LP,"Prog-rock, Post-rock, Psychedelic",Instrumental,"Mataro, Spain",BC,S,GP,YT,Az,🍎
Kosatka,Colossus,January 15,EP,"Post-rock, Sludge",Instrumental,"New Haven, CT",BC,S,GP,YT,Az,🍎
Mangeur de Rêves,Histoires à l'envers,January 15,LP,"Prog-rock, Folk",Clean,"Montreal, QC",BC,,,,,🍎
Slug Comparison,When You Were Living Here,January 16,LP,"Prog-rock, Alt-rock, Gothic",Clean,"Victoria, BC",BC,S,GP,YT,Az,🍎
Sonora Sunrise,The Route Through the Canyon,January 16,LP,"Prog-rock, Space, Psychedelic",Instru./Clean,"Altai, Russia",BC,S,,,,🍎
Bremen,Enter Silence,January 18,LP,"Prog-rock, Psychedelic, Minimalism",Instrumental,Sweden,BC,S,GP,YT,Az,🍎
Macchina Pneumatica,Riflessi e Maschere,January 18,LP,"Prog-rock, RPI",Clean,"Milano, Italy",,S,,,,
Mad Fellaz,Mad Fellaz III,January 18,LP,"Prog-rock, RPI",Instrumental,"Bassano del Grappa, Italy",BC,S,GP,YT,Az,🍎
Spadnout Ciruela,Hidrargiro,January 18,LP,Prog-rock,Clean,"Entre Ríos, Argentina",,,,YT,Az,
Stephan Thelen,Fractal Guitar,January 18,LP,"Prog-rock, Ambient",Instrumental,"Zürich, Switzerland",BC,,,,Az,
Swifan Eolh & The Mudra Choir,The Key,January 18,LP,"Prog-rock, Symphonic, Eclectic",Clean,"Telemark, Norway",BC,S,GP,YT,Az,🍎
ESP Project,three,January 19,EP,"Prog-rock, Electronic, Symphonic, Alternative",Clean,"Wendover, England",BC,S,,,,🍎
Gan Eden - Il Giardino Delle Delizie,Canta Fabrizio De Andre,January 19,LP,"Prog-rock, Symphonic, RPI",Clean,Italy,,S,,,,🍎
Trip Hill,Sponge Jam,January 19,EP,"Prog-rock, Alternative, Krautrock, Psychedelic, Acid, Improv",Instru./Clean,"Florence, Italy",BC,,,,,
Trip Hill,Yesterday Sun of Tomorrow,January 19,LP,"Prog-rock, Alternative, Krautrock, Psychedelic, Acid, Improv",Instru./Clean,"Florence, Italy",BC,,,,,
Magnésis,Alice au Pays des Délires,January 23,2xLP,"Prog-rock, Neo-prog",Clean,France,,S,GP,YT,Az,
Autumn,Stacking Smoke,January 24,LP,"Prog-rock, Heavy prog, Alternative, Symphonic",Clean,Netherlands,BC,S,,,,🍎
Celeste,Il Risveglio del Principe,January 24,LP,"Prog-rock, RPI",Clean,Italy,BC,,,,,
Adventure,New Horizon,January 25,LP,Prog-rock,Clean,"Trondheim, Norway",,S,GP,YT,Az,🍎
Benjamin Simpson,Broken Figurines,January 25,LP,"Prog-rock, Acoustic, Folk, Indie, Psychedelic",Clean,"Watkinsville, GA",,S,,,,🍎
Colonel Chloroform,Colonel Chloroform,January 25,LP,"Prog-rock, Fusion, Funk, Space rock",Instrumental,"Joliet, IL",,S,GP,YT,Az,🍎
Conspiración Khatarsis,"Religion, Power & Destruction",January 25,LP,"Prog-rock, Hard rock, Virtuoso",Instrumental,"Ciudad de México, Mexico",,S,GP,,Az,🍎
Ed Wynne,Shimmer into Nature,January 25,LP,"Prog-rock, Psychedelic, Space rock",Instrumental,"London, England",,S,GP,YT,Az,🍎
Focus,Focus 11,January 25,LP,"Prog-rock, Symphonic, Wind",Clean,Netherlands,,S,GP,,Az,🍎
Lost Crowns,Every Night Something Happens,January 25,LP,"Prog-rock, Psychedelic, Eclectic",Clean,"London, England",BC,S,,,,🍎
Mono,Nowhere Now Here,January 25,LP,"Prog-rock, Post-rock",Instru./Clean,"Tokyo, Japan",BC,S,GP,YT,Az,🍎
Paolo Siani & friends feat. Nuova Idea,The Leprechaun's Pot of Gold,January 25,LP,"Prog-rock, RPI",Clean,Italy,,,GP,YT,Az,
