2018 Progressive Metal/Rock Albums,,Releases:,292,"Sort Alphabetically by Artist: 
Data -> Filter views... -> Artist - Alphabetical
By Vocal Style:
Filter views... -> Vocal Style - Alphabetical",,,,,,,
,,LPs:,252,,,,,,,,
Feedback and Request Form,Creator: /u/iAmTheEpicOne,EPs:,40,,,,,,,,
,,,,,,,,,,,
Artist,Album,Release Date,Length,Genre / Subgenres,Vocal Style,Country / State,Bandcamp,Spotify,Google Play,YouTube,Amazon
Odin's Court,Turtles All the Way Down: Vol. II,January 5,LP,Prog-metal/rock,Clean,"Lexington Park, MD",BC,,GP,,A
Phendrana,Sanctum: Sic Transit Gloria Mundi,January 8,LP,"Atmospheric/Post-Black metal, Prog-metal",Mixed,"Mexico City, Mexico",BC,S,GP,YT,A
Kayak,Seventeen,January 12,LP,Crossover Prog,Clean,Netherlands,,S,GP,YT,A
Roman Khrustalev,Fallen Kingdom,January 12,LP,"Prog-metal, Power metal",Instrumental,"Astana, Kazakhstan",BC,,,,
Dear Apollo,Volume One,January 16,EP,"Prog-metal, Djent",Clean,"San Diego, CA",BC,S,GP,YT,A
Hago,Hago,January 18,LP,"Prog-metal, Jazz Fusion, Djent",Instru./Clean,"Boston, MA",BC,S,GP,YT,A
Night Verses,Copper Wasp,January 18,EP,"Prog-metal/rock, Experimental, Alt-metal",Instrumental,"Los Angeles, CA",BC,S,GP,YT,A
Aviations,The Light Years,January 19,LP,"Prog-rock/metal, Experimental, Post-hardcore, Djent",Clean,"Boston, MA",BC,S,GP,YT,A
Jonny Turner,Journey,January 19,EP,"Prog-metal, Djent",Clean,"Preston, UK",BC,S,GP,YT,A
Perfect Beings,Vier,January 19,LP,"Crossover Prog, Symphonic",Clean,"Los Angeles, CA",,S,GP,YT,A
Sisare,Leaving the Land,January 19,LP,Melodic Prog-metal/rock,Clean,Finland,,S,GP,YT,A
Xenosis,Devour and Birth,January 19,LP,"Technical Death metal, Prog-metal",Harsh,"New Haven, CT",BC,S,GP,YT,A
Agrimonia,Awaken,January 26,LP,"Hardcore, Crust, Post-metal, Sludge metal, Prog-metal",Harsh,Sweden,BC,S,GP,,A
Arcaeon,Balance,January 26,EP,"Prog-metal, Metalcore, Groove metal",Mixed,"Reading, UK",BC,S,GP,YT,A
Art of Illusion,Cold War of Solipsism,January 26,LP,"Prog-rock/metal, Alt-rock",Clean,"Bydgoszcz, Poland",BC,S,GP,,A
Howling Sycamore,Howling Sycamore,January 26,LP,"Prog-metal, Experimental",Clean,"San Francisco, CA",BC,S,GP,YT,A
Into the Great Divide,Into the Great Divide,January 26,LP,Prog-rock/metal,Instrumental,"Los Angeles, CA",,S,GP,YT,A
In Vain,Currents,January 26,LP,"Prog-metal, Death metal",Mixed,"Kristiansand, Norway",BC,S,GP,YT,A
Monolithe,Nebula Septem,January 26,LP,"Doom metal, Prog-metal",Harsh,"Paris, France",BC,,GP,YT,A
Orphaned Land,Unsung Prophets & Dead Messiahs ,January 26,LP,"Prog-metal/rock, Folk metal, Melodic Death metal",Mixed,Israel,,S,GP,,A
Tribulation,Down Below,January 26,LP,"Black metal, Gothic rock, Death metal, Prog-metal",Harsh,Sweden,,S,GP,YT,A
Astrakhan,Without New Growth Process is Bloodshed,February 2,LP,"Prog-metal, Sludge metal, Psychedelic metal, Stoner metal",Mixed,"Vancouver, British Columbia",BC,,,YT,
Coen,Remnants of Yesterday,February 2,LP,Prog-metal,Clean,Singapore,BC,S,GP,YT,A
Long Distance Calling,Boundless,February 2,LP,"Post-rock/metal, Prog-rock",Instrumental,"Münster, Germany",,S,GP,YT,A
A Notion of Silence,Dynamo,February 9,LP,Prog-metal/rock,Mixed,"Pittsburgh, PA",,S,GP,,A
Good Tiger,We Will All be Gone,February 9,LP,"Prog-rock/metal, Alt-rock",Clean,"London, UK",BC,S,GP,YT,A
The Atlas Moth,Coma Noir,February 9,LP,"Post-metal, Sludge metal, Prog-metal",Mixed,"Chicago, IL",BC,S,GP,YT,A
Stealing Axion,Eternities,February 13,EP,"Prog-metal, Death metal, Groove metal",Mixed,"Seattle, WA",BC,S,GP,YT,A
Malady,Toinen Toista,February 14,LP,Prog-rock,Clean,"Helsinki, Finland",BC,S,GP,YT,A
Angra,Ømni,February 16,LP,"Prog-metal, Power metal, Folk metal",Mixed,"São Paulo, Brazil",,S,GP,,A
Letters From the Colony,Vignette,February 16,LP,"Prog-metal, Death metal, Djent",Mixed,Sweden,,S,GP,,A
Mother Turtle,Zea Mice,February 20,LP,"Prog-rock, Art rock, Jazz",Instrumental,"Thessaloniki, Greece",BC,S,GP,YT,A
Horizon Ablaze,The Weight of a Thousand Suns,February 21,LP,"Prog-metal, Black metal, Avant-garde, Death metal, Hardcore",Mixed,"Kristiansand, Norway",BC,S,GP,YT,A
Modern Day Babylon,Coma,February 22,LP,"Prog-metal, Djent",Instrumental,"Ústecký, Czech Republic",BC,S,GP,YT,A
Somali Yacht Club,The Sea,February 22,LP,"Prog-rock, Psychedelic rock, Stoner rock",Clean,"Львов, Ukraine",BC,S,GP,YT,A
Huntsmen,American Scrap,February 23,LP,"Americana, Doom metal, Stoner rock, Prog-metal, Post-metal, Sludge metal",Mixed,"Chicago, IL",BC,S,GP,YT,A
Maladie,Of Harm and Salvation,February 23,LP,"Prog-metal, Avant-garde, Black metal",Mixed,"Ludwigshafen, Germany",BC,S,GP,YT,A
