2019 Progressive Metal Albums,,Releases:,424,"Sort by Artist, Vocal Style, or Genre:
Data -> Filter views... -> ...
Or create your own Filter View:
Data -> Filter views... -> Create a new filter view","Collaborators: 
/u/FranticDav
/u/Faceless_Aeons
/u/tapestrymusicpodcast
/u/ickybus",,Images & Words: The Prog Discord,,,,,
,,LPs:,374,,,,,,,,,
Feedback and Request Form,Creator: /u/iAmTheEpicOne,EPs:,50,,,,,,,,,
,,Debuts:,108,,,,,,,,,
Artist,Album,Release Date,Length,Genre / Subgenres,Vocal Style,Country / State,Bandcamp,Spotify,Google Play,YouTube,Amazon,Apple Music
Florid Ekstasis,AN: Effloresce as Arid Dots,January 1,LP,"Prog-metal, Black metal, Death metal",Mixed,"New York, NY",BC,,,,,
Kenny McCormick,Zenturies,January 1,LP,"Prog-metal, Space rock, Alternative, Ambient",Instrumental,"Meura, Germany",BC,S,GP,YT,,🍎
Dimension Eleven,The Transcendental Journey,January 2,LP,Prog-metal,Mixed,"Oświęcim, Poland",BC,S,GP,YT,Az,🍎
InsaN,Banishment Divine,January 2,LP,"Black metal, Prog-metal",Harsh,"Mali Losinj, Croatia",BC,,,YT,,
Andromida,More Than Human,January 4,EP,"Prog-metal, Djent",Instrumental,"Pittsburgh, PA",BC,S,GP,YT,Az,🍎
Divine Ratio,Unified by Division: Vault 13,January 4,LP,"Prog-metal, Alternative",Clean,"Virgina Beach, VA",,,GP,YT,Az,🍎
Marrow,Look Outside,January 4,EP,"Prog-metal, Djent",Instrumental,"Paramount, CA",,S,GP,YT,Az,🍎
Primal Essence,Order & Chaos,January 4,EP,"Prog-metal, Metalcore",Mixed,"Denver, CO",BC,S,GP,YT,Az,🍎
Return to Life,The Depths,January 4,LP,"Prog-metal, Atmospheric, Ambient",Mixed,"Toronto, ON",BC,S,GP,YT,Az,🍎
Rosetta,Sower of Wind,January 4,EP,"Sludge metal, Post-metal, Experimental",Instrumental,"Philadelphia, PA",BC,S,GP,YT,Az,🍎
Yatra,Death Ritual,January 4,LP,"Doom metal, Sludge metal",Clean,Maryland,BC,S,GP,YT,Az,🍎
Cloudbreaker,Confinement Is Finite,January 5,LP,"Prog-metal, Melodic Death metal",Harsh,"Marburg, Germany",BC,S,GP,YT,Az,🍎
Thousand Sun Sky,The Aurora Complex,January 5,LP,Prog-metal,Instrumental,"Sydney, Australia",BC,S,GP,YT,Az,🍎
Paimon,Corrector,January 7,LP,"Prog-metal, Symphonic, Gothic metal",Mixed,Greece,,S,GP,YT,Az,🍎
Phlebotomized,Deformation Of Humanity ,January 7,LP,Death metal,Harsh," Rozenburg, Netherlands",BC,S,GP,YT,Az,🍎
Shades Before Dawn,Mnemonic,January 8,LP,"Prog-metal, Metalcore, Post-hardcore, Djent",Instrumental,"New York, NY",BC,S,GP,YT,Az,🍎
Frequency,The Brave Who Stops Fear,January 9,EP,Melodic Death metal,Mixed,"Albacere, Spain",BC,S,GP,YT,Az,🍎
Julian Pongasi,Noose Manual: Prologue,January 9,EP,"Prog-metal, Djent",Instrumental,Philippines,,S,GP,YT,Az,🍎
Krallice,Wolf,January 9,EP,"Prog-metal, Black metal, Avant-garde",Harsh,"New York, New York",BC,S,,,,
Cotard,Depths,January 10,LP,"Prog-metal, Black, Doom, Power metal",Instrumental,Italy,BC,S,GP,YT,Az,🍎
Nyxborn,Fatesblood,January 10,LP,"Prog-metal, Heavy metal",Clean,"Epirus, Greece",BC,,,,,
Orchid,Miasma,January 10,LP,"Prog-metal, Mathcore, Technical Death metal",Harsh,"Bangalore, India",BC,S,GP,YT,Az,🍎
Blackcube,Silencing the Sun,January 11,LP,"Prog-metal, Power metal",Clean,"Lille, France",,S,GP,YT,Az,🍎
Born Of Osiris,The Simulation ,January 11,LP,"Deathcore, Djent",Harsh,"Palatine, IL",,S,GP,YT,Az,🍎
Forlorn Seas,Exodus,January 11,LP,"Prog-metal, Djent, Sludge metal",Harsh,"Padua, Italy",BC,S,GP,YT,Az,🍎
Lillake,Memory Lies,January 11,LP,"Prog-metal, Doom metal, Experimental",Mixed,"Nashville, TN",BC,S,GP,YT,Az,🍎
