2020 Progressive Metal Albums,,Releases:,563,"Sort by Artist, Vocal Style, or Genre:
Data -> Filter views... -> ...
Or create your own Filter View:
Data -> Filter views... -> Create a new filter view","Collaborators: 
/u/FranticDav
/u/Faceless_Aeons
/u/tapestrymusicpodcast
/u/ickybus",,Images & Words: The Prog Discord,,,,
,,LPs:,484,,,,,,,,
Feedback and Request Form,Creator: /u/iAmTheEpicOne,EPs:,79,,,,,,,,
,,Debuts:,184,,,,,,,,
Artist,Album,Release Date,Length,Genre / Subgenres,Vocal Style,Country / State,Bandcamp,Spotify,YouTube,Amazon,Apple Music
World Breaker,Conduit,January 1,LP,"Prog-metal, metalcore",Mixed,"Springfield, MO",,S,YT,,
Victory Over The Sun,A Tessitura of Transfiguration,January 3,LP,"Prog-metal, Black metal, Avant-garde, Sludge",Harsh,"Portland, OR",BC,,,,
Inanem,Blackwork,January 3,LP,"Prog-metal, Black metal, Death metal",Harsh,"Chicago, IL",BC,S,,,
Unreqvited,Mosaic II: la déteste et la détresse,January 10,LP,"Post-black metal, Blackgaze",Harsh,"Ottawa, ON",BC,S,YT,,
Lotus Thief,Oresteia,January 10,LP,"Avant-garde metal, Post-rock, Psychedelic",Mixed,"San Francisco, CA",BC,S,YT,,
vvilderness,Dark Waters,January 10,LP,"Atmospheric Black metal, Post-metal, Shoegaze",Harsh,Hungary,BC,S,,,
Apocalyptica,Cell-0,January 10,LP,"Symphonic, Neoclassical",Instrumental,"Helsinki, Finland",,S,YT,Az,🍎
SEA,Impermanence,January 15,LP,"Post-metal, Doom metal, Atmospheric",Mixed,"Boston, MA",BC,S,,,
Grasping Veld,Horizons,January 15,EP,"Post-metal, Doom metal, Sludge metal",Harsh,"Kaliningrad, Russia",BC,S,,,
Garganjua,Toward The Sun,January 17,LP,"Prog-metal, Doom metal, Sludge",Mixed,"Leicester, UK",BC,S,YT,,
Sons of Apollo,MMXX,January 17,LP,Prog-metal,Clean,USA,,S,,,
Marsyas,Emergence,January 17,LP,"Prog-metal, Prog-rock",Clean,"Bergamo, Italy",BC,S,,,
Odious Mortem,Synesthesia,January 17,LP,"Prog-metal, Technical Death metal, Progressive Death metal",Harsh,"San Francisco, CA",BC,S,YT,A,AM
Die Like Gentlemen,Stories,January 18,LP,"Prog-metal, Sludge, Prog rock, Folk metal",Mixed,"Portland, OR",BC,S,,,
Raphael Weinroth-Browne,Worlds Within,January 24,LP,"Prog-metal, Classical, Post-rock",Instrumental,Canada,BC,S,YT,,
Thoughts Factory,Elements,January 24,LP,"Prog-metal, Prog-rock",Clean,"Frankfurt, Germany",BC,S,,,
Grey Skies Fallen ,Cold Dead Lands,January 24,LP,"Prog-metal, Doom metal, Melodic",Harsh,"New York, NY",BC,S,,,
