2023 Progressive Rock Albums,,Releases:,1065,"Sort by Artist, Vocal Style, or Genre:
Data -> Filter views... -> ...
Or create your own Filter View:
Data -> Filter views... -> Create a new filter view","Collaborators: 
         FranticDav | Faceless_Aeons
tapestrymusicpodcast | ickybus
  Vortexpro000 | theSmilingCow
   PyroL | Fayiron
Unsinful",,,Images & Words: The Prog Discord,,,
,,LPs:,963,,,,,,,,
,,EPs:,103,,,,,,,,
,,Debuts:,171,,,,,,,,
,,Reissue/Special:,15,,,,,,,,
Artist,Album,Release Date,Length,Genre / Subgenres,Vocal Style,Country / State,Bandcamp,Spotify,YouTube,Amazon,Apple Music
Barricades at Night ,Growing Fear,January 1,LP,Alt-rock,Clean,"Huntsville, AL",BC,S,,,
Mark Murdock,False Readings,January 1,LP,"Prog-rock, Jazz rock",Clean,"Tokyo, Japan",BC,S,,,
Fireworks,Higher Lonely Power,January 1,LP,"Alt-rock, Pop Punk",Clean,"Detroit, MI",BC,S,,,
La Stazione Delle Frequenze,Chirale,January 4,LP,"Prog-rock, Heavy prog",Clean,"Benevento, Italy",BC,S,,,
Steve Hackett,The Tokyo Tapes,January 6,LP,"Prog-rock, Symphonic rock, Virtuoso",Clean,"London, UK",,S,,,
The Aaron Clift Experiment,The Age of Misinformation,January 6,LP,"Prog-rock, Crossover prog",Clean,"Austin, TX",BC,S,,,
Kornmo,Vandring,January 6,LP,Prog-rock,Instrumental,"Trondheim, Norway",BC,S,,,
Allen Epley,Everything,January 6,LP,"Alt-rock, Indie, Singer/Songwriter",Clean,"Chicago, IL",BC,S,,,
Godsground,A Bewildered Mind,January 6,LP,Stoner rock,Clean,"Munich, Germany",BC,S,,,
Light,The Path,January 6,LP,"Prog-rock, Jazz, Classical",Instru./Clean,"Toulouse, France",BC,S,YT,,
Dreichmere,Mist Fell in the Gathered Gloom,January 8,EP,Acoustic,Clean,"Grand Rapids, MI",BC,S,,,
Sunchild,Exotic Creatures and a Stolen Dream,January 9,LP,"Prog-rock, Neo-Prog",Clean,Ukraine,BC,S,,,
Syndrom Samazvanca,Vostraŭ skarhaŭ,January 12,LP,Psychedelic rock,Clean,"Minsk, Belarus",BC,S,,,
Deposed King,One Man's Grief,January 12,LP,"Prog-rock, Folk, Electronic",Clean,"Budapest, Hungary",BC,S,,,
Bill Nelson,Marvellous Realms,January 13,LP,"Prog-rock, Alternative, Experimental",Instrumental,UK,,,,,
Bill Nelson,Stupid/Serious,January 13,LP,"Prog-rock, Alternative, Experimental",Instrumental,UK,,,,,
Damanek,Making Shore,January 13,LP,"Prog-rock, Symphonic rock, Prog pop",Clean,Australia / UK,BC,S,,,
MOLLY,Picturesque,January 13,LP,"Post-rock, Shoegaze",Clean,"Innsbruck, Austria",BC,S,,,
Anchor and Burden,Kosmonautik Pilgrimage,January 13,LP,"Prog-rock, Avant-garde, Zeuhl",Instrumental,"Berlin, Germany",BC,S,,,
Alkamaton,The Great Cerulean Sleep,January 13,LP,"Prog-rock, Psychedelic rock, Stoner rock",Clean,"Turku, Finland",BC,S,,,
Cos Sylvan,Rayless,January 13,EP,"Prog-rock, Alt-rock",Clean,"Toronto, Canada",BC,S,,,
Strider,Midnight Zen,January 13,LP,"Psychedelic rock, Stoner rock",Clean,"Ankara, Turkey",BC,S,,,
Darksoft,Beigeification,January 13,LP,"Alt-rock, Dream Pop, Shoegaze",Clean,"Portland, ME",BC,S,,,
Pale Lungs,Pale Lungs,January 13,LP,"Post-Punk, Post-rock, Indie",Clean,"Nashville, TN",BC,S,,,
Pyramid Suns,Reflections,January 13,LP,Psychedelic rock,Clean,Malta,BC,S,,,
Wucan,Live At Deutschlandfunk,January 13,LP,"Psychedelic rock, Hard rock, Funk",Clean,"Dresden, Germany",BC,S,,,
Solstice,Light Up,January 13,LP,Prog-rock,Clean,"London, UK",BC,S,,,
MEGA,Grand Ultimate,January 14,EP,Prog-rock,Instru./Clean,"Wilmington, DE",BC,S,,,
The Tangent,"Pyramids, Stars & Other Stories: The Tangent Live Recordings 2004-2017",January 15,LP,"Prog-rock, Symphonic rock",Clean,UK / International,,S,,,
Isobar,Isobar III,January 20,LP,"Prog-rock, Eclectic rock",Instrumental,"San Jose, CA",BC,S,,,
Ten,Something This Wicked Way Comes,January 20,LP,"Prog-rock, Hard rock",Clean,"Manchester, UK",,S,,,
Aiming For Enrike,Empty Airports,January 20,LP,"Math rock, Synthwave",Instrumental,"Oslo, Norway",BC,S,,,
Ghost Woman,"Anne, If",January 20,LP,"Psychedelic rock, Indie rock",Clean,"Arizona, AZ",BC,S,,,
Plank,Future of the Sea,January 20,LP,"Prog-rock, Neo-Psychedelic",Instrumental,"Todmorden, UK",BC,S,,,
Riverside,ID.Entity,January 20,LP,Prog-rock,Clean,"Warszawa, Poland",,S,,,
Atsuko Chiba,"Water, It Feels Like It's Growing",January 20,LP,"Prog-rock, Post-rock",Clean,"Montréal, Canada",BC,S,,,
Jeffk,Tar,January 20,LP,Post-rock ,Instrumental,"Leipzig, Germany",BC,S,,,
London Odense Ensemble,Jaiyede Sessions Vol. 2,January 20,LP,"Jazz Fusion, Psychedelic rock",Instrumental,UK / Denmark,,S,,,
Varjo-Orkesteri,Seremonia,January 20,LP,Prog-rock,Clean,"Kotka, Finland",BC,S,YT,,
Tidal Wave,The Lord Knows,January 20,LP,Stoner rock,Clean,"Sundsvall, Sweden",BC,S,YT,,
Feedback,Wakeup Call,January 20,EP,"Prog-rock, Math rock",Instrumental,"Baltimore, MD",BC,,,,
ṘO,Baiagoan,January 20,LP,Post-rock,Instrumental,"Azkoitia, Spain",BC,S,YT,,
Cosmopaark,And I Can't Breathe Enough,January 20,LP,"Indie rock, Shoegaze",Clean,"Bordeaux, France",BC,S,YT,,
Liongeist,S/T,January 20,LP,Post-rock,Instrumental,"Oslo, Norway",BC,S,,,
Molten Gold,Futures Past,January 20,LP,Hard rock,Clean,"Oslo, Norway",BC,S,,,
Florian Hamela,Echoes,January 20,LP,"Prog-rock, Math rock",Instrumental,"Vienna, Austria",BC,S,,,
New Found Glory ,Make The Most Of It,January 20,LP,"Acoustic rock, Pop Punk",Clean,"Coral Springs, FL",BC,S,,,
Silent Whale Becomes A° Dream,North,January 20,EP,Post-rock,Instrumental,France,BC,S,,,
Great Wide Nothing,"Hymns for Hungry Spirits, Vol. II",January 20,LP,Prog-rock,Clean,"Atlanta, GA",BC,S,,,
The Murder Capital,Gigi’s Recovery,January 20,LP,"Post-Punk, Art rock",Clean,"Dublin, Ireland",BC,S,,,
Artificial Waves,Fragile,January 23,LP,Post-rock,Instrumental,"Moscow, Russia",BC,S,,,
Chan is Swimming,Chan is Swimming,January 25,LP,Post-rock,Instrumental,Hong Kong,BC,S,,,
The Skamotts,ね​こ​だ​ま​し,January 25,LP,"Big Band, Jazz Fusion",Instru./Clean,Japan,BC,S,,,
Steve Vai,Vai​/​Gash,January 27,LP,"Prog-rock, Hard rock",Clean,"California, CA",BC,S,,,
Hammock,Love in the Void,January 27,LP,Post-rock,Instru./Clean,"Nashville, TN",BC,S,,,
The Lucid,Saddle Up and Ride,January 27,EP,"Alt-rock, Hard rock",Clean,"Los Angeles, CA",BC,S,,,
Caravela Escarlate,III,January 27,LP,"Prog-rock, Symphonic rock",Clean,"Rio De Janeiro, Brazil",BC,S,,,
Jade Warrior,Eclipse / Fifth Element,January 27,LP,"Prog-rock, Psychedelic/Space Rock",Clean,UK,,S,,,
The One,Sunrise,January 27,LP,"Prog-rock, Symphonic rock",Clean,"Dordrecht, Netherlands",,S,,,
Emarosa,Sting,January 27,LP,"Alt-rock, Pop rock",Clean,"Lexington, KY",BC,S,,,
Fucked Up,One Day,January 27,LP,Hardcore Punk,Mixed,"Toronto, Canada",BC,S,,,
One Time Weekend,Fire It Up,January 27,LP,"Prog-rock, Funk rock",Clean,"Hartford, CT",BC,S,,,
Uriah Heep,Chaos & Colour,January 27,LP,"Prog-rock, Hard rock",Clean,"London, UK",,S,,,
Le Temps Du Loup,Leteo,January 27,LP,Post-rock,Instrumental,"Madrid, Spain",BC,S,,,
Mono Inc.,Ravenblack,January 27,LP,"Dark rock, Gothic rock",Clean,"Hamburg, Germany",,S,,,
Bruxa Maria,Build Yourself A Shrine And Pray,January 27,LP,"Noise rock, Post-Hardcore",Harsh,"London, UK",BC,,,,
The Goat Wizard,Mobile Government Sitcom,January 27,LP,Prog-rock,Clean,"Madison, WI",BC,S,,,
New Miserable Experience,Philosophy on Pessimism,January 27,EP,Indie rock,Clean,"Philadelphia, PA",BC,S,,,
Anasazi,Cause & Consequences,January 27,LP,"Prog-rock, Heavy Prog",Clean,"Grenoble, France",BC,S,,,
Fågelle,Den Svenska Vreden,January 27,LP,"Experimental rock, Dark Pop",Clean,"Berlin, Germany",BC,S,,,
Karma Voyage,Lights In Forgotten Places,January 27,LP,"Psychedelic rock, Darkwave",Clean,"Venice, Italy",BC,S,,,
Have A Nice Life,Voids (2023 Remaster),January 27,LP,"Post-Punk, Shoegaze",Clean,"Middletown, CT",BC,S,,,
