pa_album_id,raw_musician_name,raw_instruments_roles,is_guest
008c,Andrew Latimer,"guitars, flute, vocals (3,5)",
008c,Peter Bardens,"organ, piano, Minimoog, Mellotron, vocals (1,5), [celesta, clavinet & Fender Rhodes unconfirmed]",
008c,Doug Ferguson,"bass, vocals (5)",
008c,Andy Ward,drums & percussion,
023e,Alex Lifeson,"6- & 12-string electric & acoustic guitars, Taurus bass pedals",
023e,Geddy Lee,"basses, bass pedals, synthesizers (Oberheim polyphonic, OB-X, Minimoog), vocals",
023e,Neil Peart,"drums, timbales, orchestra bells, glockenspiel, wind chimes, crotales, percussion",
023e,Hugh Syme,synthesizers (6),
023e,Terry Brown,co-arranger & co-producer,
047c,Pye Hastings,"electric & acoustic guitars, vocals (3,5)",
047c,David Sinclair,"organ, piano, Mellotron, harmony vocals",
047c,Richard Sinclair,"bass, acoustic guitar, vocals (1,2,4,5)",
047c,Richard Coughlan,"drums, percussion",
047c,Jimmy Hastings,"flute & piccolo flute, tenor saxophone",
047c,John Beecham,trombone (uncredited),
047c,Dave Grinsted,"sound effects, engineer",
09c6,Serge Fiori,"6- & 12-string acoustic guitars, concert flute, mandolin, zither harp, bass drum, cymbal, spoons, vocals",
09c6,Michel Normandeau,"acoustic guitar, accordion, dulcimer, vocals",
09c6,Serge Locat,"piano & electric piano, Mellotron, synthesizer",
09c6,Pierre Daigneault,"concert & piccolo flutes, soprano saxophone, clarinet & bass clarinet, recorder",
09c6,Louis Valois,"bass, electric piano, vocals",
09c6,Marie Bernard,"ondes Martenot (3,4)",
09c6,Judi Richards,vocalisations (5),
09c6,Fred Torak,co-arranger,
0b30,Peter Gabriel,"lead vocals, flute, oboe, tambourine, bass drum",
0b30,Steve Hackett,"guitars (electric, acoustic 6- & 12-string)",
0b30,Tony Banks,"organ, Mellotron MKII, piano & electric piano, 12-string guitar, backing vocals",
0b30,Mike Rutherford,"bass, bass pedals, 12-string guitar, cello, backing vocals",
0b30,Phil Collins,"drums, percussion, backing vocals",
0d91,Mariusz Duda,"vocals, bass, acoustic  guitar",
0d91,Piotr Grudziński,electric guitars,
0d91,Michał Łapaj,"keyboards, Hammond, theremin, backing vocals",
0d91,Piotr Kozieradzki,"drums, percussion",
10f5,"Stefano ""Lupo"" Galifi",vocals,
10f5,Enzo Merogno,"guitar, vocals",
