raw_subgenre_name,raw_subgenre_definition
CANTERBURY SCENE,"With many other types of English progressive music developing mostly in London, it may at first seem strange that the old pilgrimage centre and relatively quiet cathedral city of Canterbury, became the centre of this very English form of progressive music and jazz fusion. Originally the Wilde Flowers, a teenage band of members living in and around Canterbury, playing a mix of pop, R'n'B and band members with a developing love of jazz, was formed in the 60's and became the seedling from which the Canterbury Scene grew. Australian beatnik Daevid Allen during a long stop-over at Robert Wyatt's parent's home, a refuge for many left field artists, was to catalyse the evolution of the Wilde Flowers into the fledging Soft Machine and the development of some avant music during the English psychedelic and underground period. From 1963 to 1969, the Wilde Flowers included most of the figures who later formed Canterbury's two best known bands, (The) Soft Machine (Robert Wyatt, Kevin Ayers, Hugh Hopper) and Caravan (Pye Hastings, David Sinclair, Richard Sinclair, Richard Coughlan)."
CROSSOVER PROG,"Crossover Prog contains progressive rock music that, though 100% progressive, may have a musical connection to popular music-- whether it be the lack of emphasis on extended compositions, or an influence from mainstream music in addition to classical, jazz and folk. Compositions, however, still exhibit a high degree of sophistication, sometimes outright complexity, and the musicianship and virtuosity is often on a par with established Prog acts. Much like their kin in the established prog sub-genres, these groups will incorporate many major parts of what defines prog rock: the fusing of rock with the structures and discipline of more traditional musics, the use of syntheisizers and new technologies, intelligent thematics, and the expansion of the form."
ECLECTIC PROG,"The term 'eclectic' in the context of progressive rock describes a summation of elements from various musical sources, and the influences and career paths of bands that take from a wide range of genres or styles. While progressive music can be, in a larger sense, eclectic, the 'Eclectic Prog' term is specially meant to reference bands that trespass the boundaries of established Progressive Rock genres or that blend many influences."
EXPERIMENTAL/POST METAL,
HEAVY PROG,"Heavy Prog defines progressive rock music that draws as much influence from hard rock as it does from classic progressive rock. In simple terms, it is a marriage of the guitar-based heavy blues of the late 1960s and 1970s - artists such as Cream, Led Zeppelin, and Black Sabbath - and the progressive/symphonic movement represented by King Crimson, Yes and Genesis."
INDO-PROG/RAGA ROCK,"The private, metaphysical relations to oneself, to the other, the symbolism of existence are connected, transfigured by the particular expression of raga, classical India music. The emotion provided by this music is not only ""affective"". It's a real message, an aesthetic of the nature, of the divine, a virtue able to guide the listener to a state of emotional trance. In the mid-60's with the launch of international success of raga masters as Ravi Shankar, Ali Akbar Khan.European and American artists will become more and more captivated by the dynamical relation between mystical emotion, spirituality and music. The emergence of Raga schools from everywhere (still perpetuating the ancestral musical traditions), the initiatic travels of Western minimalist-modern jazz composers (Terry Riley, Don Cherry...) to India will participate to a growing interest for this musical universe. The emphasis on repetitive circular rhythms, ornamentation (gamaka), the use of acoustic stringed patterns, the sense of beatific endurance and lenghty improvisation are the central characteristics of this music in term of practice and sound aesthetism. Emotionally, the function on the listener is hypnotic, voluntary trying to reach him into a higher state of consciousness, modulating his perception of time and space. The basic conception of ""drone"" (continuous sound form) will be taken back in popular music and turned into ""kosmische"" electronica (70's Berlin underground). After Seventh sons' first original but rather discreet effort simply called ""raga"" (1964) and Malachi's holy music (1966), famous bands as the Beatles in ""Revolver"" (1966) and Traffic in their album ""Mr Fantasy"" (1967) will be seduced by the sonorities of Indian raga music. They occasionally incorporate sitar elements to their music. Among the most notorious artists who participate to the original dialogue between proggy rock and Indian music we can notice many jazzy formed musicians influenced by ""world"" elements (the guitarists Volker Krieger, Steve Tibbetts, the clarinet player Tony Scott). They are often recognised to practice a fusion between jazz rock harmonies and raga's instrumentations (tabla, sitar.). Among them Collin Walcott and Alberto Marsicano were Ravi Shankar's pupils. The world of ""raga"" rock can also include psych folk / drone-y bands (Quintessance, Fit & Limo, Flute & Voice, GHQ, Pelt...) and which are largely impregnated by mysticism, sonic meditation and sitar."
JAZZ ROCK/FUSION,
KRAUTROCK,"Krautrock (also called ""Kosmische musik"") is a German avant-garde / experimental rock movement that emerged at the end of the 1960's. It was intended to go beyond the eccentricities developed by the wild psychedelic rock universe of the US, by giving a special emphasis to electronic treatments, sound manipulation and minimal hypnotic motifs (continuing the style of ""musique concrete"" and minimalist repetitive music but within a more accessible environment)."
NEO-PROG,"Neo-Progressive rock (more commonly ""Neo-Prog"") is a subgenre of Progressive Rock that originally was used to describe artists strongly influenced by the classic symphonic prog bands that flourished during the 1970s. At the beginning of the neo-prog movement, the primary influence was early to mid-70's Genesis. Debate over when Neo-Prog actually came into being often takes place, with some asserting it began with Marillion's Script for a Jester's Tear in 1983. Others contend it began with Twelfth Night at the dawn of the 80s, while some even suggest the popular symphonic prog band Genesis gave rise to Neo-Prog with their 1976 album, A Trick of the Tail."
POST ROCK/MATH ROCK,POST-ROCK:
