pa_album_id,raw_track_number,raw_track_title,raw_track_duration,is_subtrack,parent_track_number,is_bonus_track
008c,1,Freefall,,,,
008c,2,Supertwister,,,,
008c,3,Nimrodel / The Procession / The White Rider,,,,
008c,4,Earthrise,,,,
008c,5,Lady Fantasy,,,,
008c,a,Encounter,,,,
008c,b,Smiles for You,,,,
008c,c,Lady Fantasy,,,,
008c,6,Supertwister (live) (3:14) *,,,,
008c,7,Mystic Queen (live) (6:09) *,,,,
008c,8,Arubaluba (live) (7:44) *,,,,
008c,9,Lady Fantasy (original Basing Street Studios mix 1973),,,,
023e,1,Tom Sawyer,,,,
023e,2,Red Barchetta,,,,
023e,3,YYZ,,,,
023e,4,Limelight,,,,
023e,5,The Camera Eye,,,,
023e,6,Witch Hunt (Part III of Fear),,,,
023e,7,Vital Signs,,,,
047c,1,Golf Girl,,,,
047c,2,Winter Wine,,,,
047c,3,Love to Love You (and Tonight Pigs Will Fly),,,,
047c,4,In the Land of Grey and Pink,,,,
047c,5,Nine Feet Underground,,,,
047c,Nigel,Blows a Tune,,,,
047c,Love,'s a Friend,,,,
047c,Make,It 76,,,,
047c,Dance,of the Seven Paper Hankies,,,,
047c,Hold,Grandad by the Nose,,,,
047c,Honest,I Did!,,,,
047c,Disassociatio,n,,,,
047c,100,% Proof,,,,
047c,6,I Don't Know Its Name (6:12) *,,,,
047c,7,Aristocracy (3:42) *,,,,
047c,8,It's Likely to Have a Name Next Week (7:48) $ *,,,,
047c,9,Group Girl (5:04) # *,,,,
047c,10,Disassociation / 100% Proof (new mix),,,,
047c,11,"$ Instrumental version of ""Winter Wine""",,,,
047c,12,"# First version of ""Golf Girl"" with different lyrics",,,,
047c,13,* Previously unreleased,,,,
09c6,1,Vert,,,,
09c6,2,Dixie,,,,
09c6,3,Depuis l'automne,,,,
09c6,4,En pleine face,,,,
09c6,5,Histoires sans paroles,,,,
09c6,L,'isolement,,,,
09c6,L,'appel,,,,
09c6,La,rencontre,,,,
09c6,L,'union,,,,
09c6,Le,grand bal,,,,
0b30,1,Watcher of the Skies,,,,
0b30,2,Time Table,,,,
0b30,3,Get 'em Out by Friday,,,,
0b30,4,Can-Utility and the Coastliners,,,,
0b30,5,Horizons,,,,
0b30,6,Supper's Ready,,,,
0b30,a,Lover's Leap,,,,
0b30,b,The Guaranteed Eternal Sanctuary Man,,,,
0b30,c,Ikhnaton and Itsacon and Their Band of Merry Men,,,,
0b30,d,How Dare I Be So Beautiful?,,,,
0b30,e,Willow Farm,,,,
0b30,f,Apocalypse in 9/8 (featuring the delicious talents of Gabble Ratchet),,,,
0b30,g,As Sure as Eggs Is Eggs (Aching Men's Feet),,,,
0b30,7,2 disc Charisma 2007 release,,,,
0b30,8,SACD hybrid - New Stereo remix/remaster,,,,
0b30,9,"DVD (Pal, Multichannel)",,,,
0b30,Integral,DTS Surround Sound (24/96) remix,,,,
0b30,Integral,Dolby Digital Surround Sound (24/48) remix,,,,
0b30,Video,Extras,,,,
0b30,10,Reissues Interview 2007,,,,
0b30,11,"Brussels, Belgium 1972 - Rock Of The 70's",,,,
0b30,12,"Rome, Italy 1972 - Piper Club",,,,
0d91,1,After,,,,
0d91,2,Volte-Face,,,,
0d91,3,Conceiving You,,,,
0d91,4,Second Life Syndrome,,,,
0d91,a,Part One - From Hand to Mouth,,,,
0d91,b,Part Two - Secret Exhibition,,,,
0d91,c,Part Three - Vicious Ritual (instrumental),,,,
0d91,5,Artificial Smile,,,,
0d91,6,I Turned You Down,,,,
0d91,7,Reality Dream III,,,,
0d91,8,Dance with the Shadow,,,,
0d91,9,Before,,,,
10f5,1,Zarathustra,,,,
10f5,a,L'Ultimo Uomo,,,,
10f5,b,Il Re Di Ieri,,,,
10f5,c,Al Di La Del Bene E Del Male,,,,
10f5,d,Superuomo,,,,
10f5,e,Il Tempio Delle Clessidre,,,,
10f5,2,Degli Uomini,,,,
10f5,3,Della Natura,,,,
10f5,4,Dell'Eterno Ritorno,,,,
13c3,1,Appena un Po',,,,
