Normalized Form,Count,Variants
progressive metal,2752,Prog-metal|Progressive Metal|Progressive Metalcore|Progressive Jazz Metal|Prog-Metal|Prog Metal|Progressive metal|prog-metal|Prog metal
prog-rock,1800,Prog-rock|Prog-Rock|Prog -rock|prog-rock
doom metal,861,Doom metal|Doom Metal
death metal,843,Death metal|Death Metal|death metal|Math metal
black metal,833,Black metal|Black Metal|black metal
post-metal,787,Post-metal|Proto-metal|Post-Metal|Post Metal|Post-metal‎|Post metal
sludge metal,694,Sludge metal|Sludge Metal
post-rock,688,Post-rock|post-rock|Post Rock|Post-Rock|Post rock
psychedelic rock,678,Psychedelic rock|Psychedelick rock|Psychedelic Rock|Psychedelic Folk|Pyschedelic rock|Pscyhedelic rock
alt-rock,581,
indie rock,548,Indie rock|Indie Rock
metalcore,461,Metalcore|Metal-core|metalcore
technical death metal,404,Technical Death metal|Technical death metal|technical death metal|Technical Death Metal
post-hardcore,399,Post-hardcore|Post-Hardcore|post-hardcore
shoegaze,395,
melodic death metal,392,Melodic Death metal|Melodic death metal|Melodic Death Metal|melodic death metal
stoner rock,362,Stoner rock|Stoner Rock|stoner rock
post-punk,333,Post-punk|Post-Punk|Post punk
djent,301,Djent|djent
atmospheric black metal,285,Atmospheric Black metal|Atmospheric Black Metal|Atmospheric black metal
noise rock,262,Noise rock|Noise Rock
heavy metal,259,Heavy metal|Heavy Metal
power metal,257,Power metal|Power Metal
hard rock,230,Hard rock|Hard Rock|Hard-rock
thrash metal,226,Thrash metal|Thrash Metal|Tharsh metal
stoner metal,224,Stoner metal|Stoner Metal
ambient,224,
art rock,213,Art rock|Art-rock|art rock|Art Rock|Art-Rock|alt rock
math rock,212,Math rock|math rock|Math Rock
alt-metal,208,Alt-metal|Alt-Metal
deathcore,200,
experimental,195,Experimental|Experimental metal|Experimental Pop|Experimental pop|experimental
dream pop,191,Dream Pop|Dream pop
electronic,183,Electronic|Electronica|electronic|Electonic
singer-songwriter,162,Singer-songwriter|Singer-Songwriter
jazz fusion,161,Jazz Fusion|Jazz fusion|jazz fusion
mathcore,160,
screamo,149,
avant-garde metal,148,Avant-garde metal|Avant-Garde metal|Avant-Garde Metal
symphonic,146,Symphonic|Sympohnic|symphonic
blackgaze,141,
indie pop,137,
psychedelic,122,Psychedelic|Psyechedelic|Psychedelia|psychedelic|Pschedelic
avant-garde,117,Avant-garde|Avant-Garde|avant-garde|Avant garde
symphonic metal,115,Symphonic metal|Symphonic Metal|symphonic metal
heavy psych,115,Heavy Psych|Heavy psych
prog-metal rock,112,
experimental rock,111,Experimental Rock|Experimental rock|Experimental Folk|Experimental Pop rock
melodic black metal,111,Melodic Black metal|Melodic Black Metal
fusion,107,Fusion|fusion
art pop,107,Art pop|Art Pop
garage rock,105,Garage rock|Garage Rock
space rock,104,Space rock|space rock|Space Rock|Space-rock
grindcore,102,
post-black metal,101,Post-Black metal|Post-Black Metal|Post-black metal|post-black metal
folk,97,Folk|folk
alternative,97,Alternative|alternative
hardcore,96,
jazz,96,Jazz|jazz
folk metal,87,Folk metal|Folk Metal
hardcore punk,87,
folk rock,85,Folk rock|folk rock|Folk Rock
death doom metal,85,
neo-prog,82,Neo-prog|Neo-Prog
atmospheric sludge metal,81,Atmospheric Sludge metal|Atmospheric Sludge Metal
krautrock,81,
brutal death metal,77,Brutal Death metal|Brutal death metal|Brutal Death Metal
blues rock,77,Blues rock|Blues Rock
grunge,76,
neo-psychedelia,74,Neo-Psychedelia|Neo-psychedelia
pop punk,71,Pop Punk|Pop punk
punk rock,71,Punk rock|Punk Rock
pop,66,Pop|pop
pop rock,66,Pop rock|Pop Rock
drone,61,
indie folk,61,
groove metal,56,Groove metal|groove metal
gothic metal,56,Gothic metal|Gothic Metal|Ghotic metal
alt-country,56,
,55,
slowcore,55,
jazz rock,55,Jazz rock|Jazz Rock
drone metal,53,Drone metal|Drone Metal
dissonant death metal,53,Dissonant Death metal|Dissonant Death Metal
industrial,50,Industrial|industrial
singer songwriter,50,
progressive rock,49,Progressive Rock|Progressive rock
americana,48,
emo,45,
darkwave,45,
gothic rock,43,
classical,43,Neoclassical|Classical
acoustic,43,Acoustic|acoustic
speed metal,43,
symphonic black metal,40,Symphonic Black metal|Symphonic Black Metal
synthpop,40,
noise pop,39,
industrial metal,37,Industrial metal|Industrial Metal
midwest emo,37,
power pop,37,
chamber pop,37,
symphonic prog,36,
alt-pop,36,
symphonic rock,35,Symphonic rock|Symphonic Rock
doomgaze,35,
dark folk,35,
avant-garde black metal,33,Avant-Garde Black Metal|Avant-Garde Black metal|Avant-garde Black metal
prog-rock metal,32,
avant-prog,32,Avant-Prog|Avant-prog
funk,31,
heavy prog,31,Heavy prog|Heavy Prog
funk rock,30,
atmospheric,29,
funeral doom metal,28,Funeral Doom metal|Funeral Doom Metal
art punk,28,
slacker rock,28,
sludge,27,Sludge|sludge
aor,25,
dark ambient,24,
