Tag,Count
Prog-metal,2706
Prog-rock,1793
Doom metal,840
Death metal,811
Black metal,808
Post-metal,760
Sludge metal,682
Post-rock,674
Psychedelic rock,652
Alt-rock,581
Indie rock,537
Metalcore,455
Shoegaze,395
Technical Death metal,385
Melodic Death metal,373
Stoner rock,358
Post-Hardcore,347
Post-Punk,322
Djent,293
Atmospheric Black metal,270
Noise rock,258
Heavy metal,251
Power metal,250
Ambient,224
Stoner metal,222
Hard rock,220
Thrash metal,216
Alt-metal,207
Deathcore,200
Math rock,199
Dream Pop,186
Experimental,166
Art rock,162
Mathcore,160
Singer-Songwriter,153
Jazz Fusion,152
Electronic,150
Screamo,149
Symphonic,143
Blackgaze,141
Indie Pop,137
Heavy Psych,114
Prog-metal/rock,112
Psychedelic,110
Symphonic metal,110
Avant-garde,109
Melodic Black metal,108
Avant-garde metal,107
Fusion,106
Experimental rock,106
Art Pop,106
Garage rock,103
Grindcore,102
Hardcore,96
Folk,96
Alternative,96
Jazz,95
Space rock,93
Hardcore Punk,87
Folk metal,86
Death Doom metal,85
Krautrock,81
Atmospheric Sludge metal,80
Folk rock,80
Blues rock,76
Grunge,76
Neo-Psychedelia,73
Brutal Death metal,72
Pop Punk,70
Punk rock,69
Pop,64
Pop rock,62
Drone,61
Indie Folk,61
Post-Black metal,59
Alt-Country,56
Groove metal,55
Neo-prog,55
,55
Slowcore,55
Gothic metal,54
Jazz rock,53
Drone metal,52
Dissonant Death metal,51
Post-hardcore,50
Singer/Songwriter,50
Industrial,49
Americana,48
Emo,45
Darkwave,45
Gothic rock,43
Speed metal,43
Acoustic,42
Synthpop,40
Progressive Rock,40
Symphonic Black metal,39
Noise Pop,39
Midwest Emo,37
Power Pop,37
Chamber Pop,37
Symphonic Prog,36
Alt-Pop,36
Doomgaze,35
Dark Folk,35
Progressive Metal,35
Industrial metal,33
Art-rock,33
Post-black metal,33
Prog-rock/metal,32
Avant-Garde metal,32
Symphonic rock,31
Funk,31
Electronica,30
Funk rock,30
Atmospheric,29
Art Punk,28
Slacker rock,28
Funeral Doom metal,27
Neo-Prog,27
Avant-Prog,27
